"element","xcenter","ycenter","zcenter","xloc","yloc","zloc","xb","yb","zb"
"H1",32.2,29.9,13.7083425891,42.964948901,28.0100913861,22.9417612371,0.686342669504,-0.143547282337,0.534641437457
"H2",32.2,29.9,13.7083425891,37.4016170534,40.0389875195,25.2266763628,0.329400144891,0.551096968041,0.665197834262
"H3",32.2,29.9,13.7083425891,43.6957159186,33.6969950084,26.15480836,0.664143251597,0.17892303095,0.705504191638
"H4",32.2,29.9,13.7083425891,39.342511644,21.4716900377,26.4535954444,0.408581359381,-0.518626182677,0.7350831935
"H5",32.2,29.9,13.7083425891,28.5459466637,20.1905428172,26.7164612498,-0.215855031737,-0.574544271594,0.750606415082
"H6",32.2,29.9,13.7083425891,23.2546980209,28.3256535192,25.9350485719,-0.504637383003,-0.0943597595371,0.702834443926
"H7",32.2,29.9,13.7083425891,27.6210265294,35.977287542,25.2607177856,-0.224100358067,0.316439931525,0.660225547255
"H8",32.2,29.9,13.7083425891,38.4843581961,45.8973588485,20.57984148,0.363066912593,0.843334807426,0.38764496171
"H9",32.2,29.9,13.7083425891,45.9251163156,40.984705969,19.1136264104,0.78716533336,0.542183643167,0.287741125976
"H10",32.2,29.9,13.7083425891,48.9834153261,29.8642029302,20.3661341716,0.929188910642,-0.0367319735672,0.359200955381
"H11",32.2,29.9,13.7083425891,45.8034369362,19.9407813836,19.0872747851,0.757026293583,-0.586929646958,0.27874667611
"H12",32.2,29.9,13.7083425891,35.8661495329,13.0043690248,20.4367020402,0.194472924692,-0.906785402977,0.362258329936
"H13",32.2,29.9,13.7083425891,23.5995114328,15.1173719171,20.0598240878,-0.508431587393,-0.773156034202,0.349057659982
"H14",32.2,29.9,13.7083425891,16.7668641226,21.6244127374,19.1025665617,-0.8396244467,-0.454997163282,0.287006658507
"H15",32.2,29.9,13.7083425891,15.0575673462,31.6428114281,20.2198560277,-0.92682121424,0.0949103241031,0.353099548259
"H16",32.2,29.9,13.7083425891,20.152672608,42.5840922143,19.0117148923,-0.64979307412,0.698135579607,0.291258872889
"H17",32.2,29.9,13.7083425891,28.8123057976,47.5514803475,20.6258547932,-0.15527645077,0.904234683939,0.392908991401
"H18",32.2,29.9,13.7083425891,36.9193476743,46.6423682447,12.3135387543,0.301537943365,0.851712451111,-0.0702748530681
"H19",32.2,29.9,13.7083425891,50.5680421244,36.0475571125,12.8565693456,0.95718730761,0.274281135701,-0.0339557259062
"H20",32.2,29.9,13.7083425891,51.1123027103,24.8984550162,12.9983951787,0.953967068348,-0.294732115662,-0.0222483507792
"H21",32.2,29.9,13.7083425891,42.9897279881,14.2187631383,12.7987799925,0.600246890071,-0.796184902727,-0.0329639248684
"H22",32.2,29.9,13.7083425891,31.0853307034,13.3681516475,12.8478366965,-0.0817298438145,-0.989760146416,-0.0273984930497
"H23",32.2,29.9,13.7083425891,21.1624486687,14.3378945165,13.0668031136,-0.631896347923,-0.771970379824,-0.0174681436609
"H24",32.2,29.9,13.7083425891,12.4410656549,27.1218000635,12.8424860854,-0.985547677503,-0.154727937506,-0.0335470290739
"H25",32.2,29.9,13.7083425891,14.9558069749,38.3093946903,12.6730259116,-0.886481739897,0.456950323494,-0.0411898753107
"H26",32.2,29.9,13.7083425891,24.388553153,47.4206495081,12.1140818206,-0.405073084648,0.908230801413,-0.0723320106235
"H27",32.2,29.9,13.7083425891,48.909653207,31.3813336211,6.41880935329,0.919150132757,0.0393627617215,-0.373128714066
"H28",32.2,29.9,13.7083425891,45.9374501414,20.9978126842,6.85625931307,0.770545964052,-0.52008435123,-0.354460723764
"H29",32.2,29.9,13.7083425891,39.9108607093,13.7648262199,9.75553405599,0.410816532572,-0.868628737298,-0.197864098767
"H30",32.2,29.9,13.7083425891,25.4615393928,14.1787376984,8.51062106553,-0.279532913232,-0.873602338852,-0.258031795216
"H31",32.2,29.9,13.7083425891,16.891971643,22.1771607521,5.75521104587,-0.815064663484,-0.382622015372,-0.408913118778
"H32",32.2,29.9,13.7083425891,16.1416671821,32.9061734579,5.86933917773,-0.893075950616,0.167898676664,-0.401084216668
